Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Fitness / Yoga / Pilates	Saltele Fitness / Yoga / Pilates	Коврики для Фитнес / Йоги / Пилатес
Фитнес / Йога / Пилатес	Role Fitness / Yoga / Pilates	Ролики для Фитнес / Йога / Пилатес
	Fitball / Minge pentru Gimnastica	Фитбол / Гимнастический мяч
	Expandere	Эспандеры
	Coarda pentru sărituri	Скакалки
	Disc Balans	Балансировочный диск
	Benzi TRX	TRX-ремни
	CrossFit echipament	Оборудование для кроссфита
	Greutăți Fitness	Фитнес утяжелители
	Minge medicinală	Медицинский мяч
	Sticle pentru antrenament	Тренировочные бутылки
	Echipament Fitness	Фитнес оборудование
	Echipament Yoga	Йога оборудование
	Echipament Pilates	Пилатес оборудование
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Sporturi Colective	Fotbal	Футбол
Командные виды спорта	Volei	Волейбол
	Baschet	Баскетбол
	Polo pe Apa	Водное поло
	HandBall	Гандбол
	Trofee	Трофеи
	Accesorii	Аксессуар
	Inventar pentru antrenamente	Инвентарь для тренировке
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Sporturi Individuale	Badminton	Бадминтон
Индивидуальные виды спорта	Tenis de Câmp	Большой теннис
	BaseBall	Бейсбол
	Darts	Дартс
	Trofee	Трофеи
	Inventar pentru antrenamente	Инвентарь для тренировке
	Accesorii	Аксессуар
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Greutați	Greutate	Гири
Тяжости	Gantere	Гантели
	Discuri	Диски
	Bare	Штанги
	Suporturi pentru greutați	Стойки для тяжости
	Accesorii pentru utilizator	Аксессуары для пользователя
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Înot	Ochelari pentru Înot	Очки для плавания
Плавание	Căciulă pentru Înot	Плавательная шапочка
	Tuburi pentru Înot	Трубки для плавания
	Mască pentru Înot	Маска для плавания
	Labe pentru Înot	Ласты для плавания
	Echipament pentru antrenament	Инвентарь для тренировке
	Echipament pentru scufundări	Водолазное снаряжение
	Echipament pentru piscină	Оборудование для бассейна
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Tenis de Masă	Mese de Tenis de Masă	Столы для настольного тенниса
Настольный теннис	Palete Tenis de Masă	Ракетки для настольного тенниса
	Plase Tenis de Masă	Сетки для настольного тенниса
	Minge Tenis de Masă	Мяч для настольного тенниса
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Jocuri de Logică și alte Jocuri	Jocuri de Societate	Настольные игры
Логические игры и другие игры	Jocuri de Logică	Логические игры
	Sah / Damne / Narde	Шахматы / Шашки / Нарды
	Mese de Joc	Игровые столы
	Alte Jocuri	Другие игры
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Arte Marțiale	Echipament pentru Box	Снаряжение для Бокса
Боевые искусства	Echipament pentru Karate	Снаряжение для Карате
	Echipament pentru Judo	Снаряжение для Дзюдо
	Echipament pentru Taekwondo	Снаряжение для тхэквондо
	Echipament pentru Lupte libere	Борцовское снаряжение
	Inventar pentru antrenamente	Инвентарь для тренировке
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Aparate Cardio	Bandă de Alergat	Беговая дорожка
Кардио Тренажер	Aparat Eliptic	Эллиптический тренажер
	Aparat de Vâslit	Гребной тренажер
	Bicicletă Orizontală	Горизонтальной Велотренажер 
	Bicicletă Fitness	Велотренажер
	Bicicletă AirBike	Велотренажер AirBike
	Bicicletă SpeedBike	Велотренажер SpeedBike
	Stepper	Степпер
	Accesorii pentru utilizator	Аксессуары для пользователя
	Protecție pentru Aparate Cardio	Защитные ковры
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Aparate de Forță	Aparate de forță cu greutăți incorporate	Силовые тренажеры со встроенными утяжелителями
Силовое оборудование	Aparate de forță cu greutăți libere	Силовые тренажеры со свободными весами
	Bănci pentru antrenament	Тренировочные скамейки
	Aparate Mulifuncționale	Многофункциональные Тренажоры
	Accesorii pentru utilizator	Аксессуары для пользователя
	Protecție pentru Aparate de Forță	Защитные ковры
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Aparate de Forță pentru Exterior	Aparate de Forță pentru Exterior	Тренажеры уличные
Тренажеры уличные		
Categorii Ro / Ru	Subcategorii Ro	Subcategorii Ru
Inventar pentru Instituții Publice și Proiecte	Inventar pentru Instituții Publice și Proiecte	Инвентаризация государственных учреждений и проектов
Инвентаризация государственных учреждений и проектов		
